Drill Listing
=============
Drill: .01575  Tool: 1  Feed: 95  Speed: 300
X 397637  Y 458661
X 386614  Y 463779
X 371259  Y 447637
X 362598  Y 468503
X 340157  Y 485826
X 332283  Y 485826
X 308267  Y 485826
X 268897  Y 468503
X 260236  Y 485826
X 241732  Y 486220
X 214173  Y 468503
X 200787  Y 485826
X 191338  Y 468503
X 164566  Y 485826
X 144488  Y 468503

Drill: .0315  Tool: 3  Feed: 197  Speed: 550
X 690551  Y 290944
X 690551  Y 322440
X 700551  Y 290944
X 700551  Y 322440

Drill: .03543  Tool: 4  Feed: 197  Speed: 550
X 117716  Y 140708
X 117716  Y 180708
X 233858  Y 140708
X 233858  Y 180708
X 348031  Y 180708
X 348031  Y 140708
X 458267  Y 180708
X 458267  Y 140708

Drill: .0374  Tool: 5  Feed: 197  Speed: 550
X 170866  Y 138976
X 170866  Y 188976
X 184645  Y 138976
X 184645  Y 188976
X 290944  Y 137992
X 290944  Y 187992
X 304724  Y 137992
X 304724  Y 187992
X 399212  Y 137992
X 399212  Y 187992
X 412992  Y 137992
X 412992  Y 187992
X 511417  Y 137992
X 511417  Y 187992
X 525196  Y 187992
X 525196  Y 137992
X 562204  Y 189173
X 562204  Y 139173
X 576377  Y 167125
X 576377  Y 117125
X 125590  Y 387401
X 125590  Y 397401
X 125590  Y 407401
X 115590  Y 397401
X 115590  Y 387401
X 115590  Y 407401
X 115590  Y 417401
X 115590  Y 427401
X 115590  Y 437401
X 115590  Y 447401
X 125590  Y 437401
X 125590  Y 427401
X 125590  Y 447401
X 125590  Y 417401

Drill: .03937  Tool: 6  Feed: 197  Speed: 550
X 633464  Y 156692
X 633464  Y 176377
X 633464  Y 196062
X 633464  Y 215748
X 692519  Y 156692
X 692519  Y 196062
X 692519  Y 176377
X 692519  Y 215748
X 466141  Y 265354
X 466141  Y 285039
X 466141  Y 304724
X 407086  Y 265354
X 407086  Y 304724
X 407086  Y 285039
X 243307  Y 285826
X 243307  Y 305511
X 243307  Y 266141
X 184251  Y 266141
X 184251  Y 305511
X 184251  Y 285826
X 184251  Y 325196
X 243307  Y 325196
X 407086  Y 324409
X 466141  Y 324409
X 651968  Y 395275
X 671653  Y 395275
X 691338  Y 395275
X 711023  Y 395275
X 711023  Y 454330
X 691338  Y 454330
X 671653  Y 454330
X 651968  Y 454330

Drill: .04724  Tool: 7  Feed: 139  Speed: 550
X 145275  Y 115748
X 159055  Y 115748
X 172834  Y 115748
X 255511  Y 115748
X 269291  Y 115748
X 283070  Y 115748
X 361811  Y 115748
X 375590  Y 115748
X 389370  Y 115748
X 468110  Y 115748
X 481889  Y 115748
X 495669  Y 115748
X 592125  Y 115748
X 619685  Y 115748
X 694488  Y 115748
X 708267  Y 115748
X 777165  Y 233858
X 777165  Y 247637
X 777165  Y 261417
X 777165  Y 288976
X 777165  Y 275196
X 777165  Y 302755
X 777165  Y 330314
X 777165  Y 316535
X 777165  Y 353937
X 777165  Y 381496
X 777165  Y 367716
X 777165  Y 395275
X 777165  Y 409055
X 777165  Y 436614
X 777165  Y 422834
X 777165  Y 450393
X 414173  Y 478346
X 400393  Y 478346
X 386614  Y 478346
X 372834  Y 478346
X 359055  Y 478346

Drill: .05  Tool: 8  Feed: 107  Speed: 550
X 740551  Y 290944
X 740551  Y 322440
X 760551  Y 290944
X 760551  Y 322440

Drill: .1378  Tool: 9  Feed: 35  Speed: 794
X 116298  Y 116298
X 336376  Y 115904
X 793463  Y 116298
X 793463  Y 478502
X 116298  Y 478502

End of Listing
